Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,877,1,Buffalo-Hanover-Montrose Schools,4,726,1,Becker Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,6,727,1,Big Lake Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,18,728,1,Elk River Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,3,739,1,Kimball Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,2,742,1,St. Cloud Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,14,876,1,Annandale Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,7,879,1,Delano Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,59,881,1,Maple Lake Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,44,882,1,Monticello Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,43,883,1,Rockford Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,68,885,1,St. Michael-Albertville School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,1,2396,1,A.C.G.C. Public School District
23-24,877,1,Buffalo-Hanover-Montrose Schools,71,2687,1,Howard Lake-Waverly-Winsted
23-24,879,1,Delano Public School District,1,11,1,Anoka-Hennepin Public School District
23-24,879,1,Delano Public School District,40,111,1,Watertown-Mayer Public School District
23-24,879,1,Delano Public School District,2,276,1,Minnetonka Public School District
23-24,879,1,Delano Public School District,12,278,1,Orono Public School District
23-24,879,1,Delano Public School District,1,279,1,Osseo Public School District
23-24,879,1,Delano Public School District,2,281,1,Robbinsdale Public School District
23-24,879,1,Delano Public School District,4,284,1,Wayzata Public School District
23-24,879,1,Delano Public School District,5,466,1,Dassel-Cokato Public School District
23-24,879,1,Delano Public School District,1,727,1,Big Lake Public School District
23-24,879,1,Delano Public School District,2,728,1,Elk River Public School District
23-24,879,1,Delano Public School District,1,739,1,Kimball Public School District
23-24,879,1,Delano Public School District,1,742,1,St. Cloud Public School District
23-24,879,1,Delano Public School District,151,877,1,Buffalo-Hanover-Montrose Schools
23-24,879,1,Delano Public School District,6,882,1,Monticello Public School District
23-24,879,1,Delano Public School District,159,883,1,Rockford Public School District
23-24,879,1,Delano Public School District,29,2687,1,Howard Lake-Waverly-Winsted
23-24,881,1,Maple Lake Public School District,1,281,1,Robbinsdale Public School District
23-24,881,1,Maple Lake Public School District,1,466,1,Dassel-Cokato Public School District
23-24,881,1,Maple Lake Public School District,2,739,1,Kimball Public School District
23-24,881,1,Maple Lake Public School District,8,742,1,St. Cloud Public School District
23-24,881,1,Maple Lake Public School District,76,876,1,Annandale Public School District
23-24,881,1,Maple Lake Public School District,38,877,1,Buffalo-Hanover-Montrose Schools
23-24,881,1,Maple Lake Public School District,1,879,1,Delano Public School District
23-24,881,1,Maple Lake Public School District,38,882,1,Monticello Public School District
23-24,881,1,Maple Lake Public School District,3,885,1,St. Michael-Albertville School District
23-24,881,1,Maple Lake Public School District,13,2687,1,Howard Lake-Waverly-Winsted
23-24,882,1,Monticello Public School District,1,31,1,Bemidji Public School District
23-24,882,1,Monticello Public School District,1,47,1,Sauk Rapids-Rice Public Schools
23-24,882,1,Monticello Public School District,1,51,1,Foley Public School District
23-24,882,1,Monticello Public School District,3,279,1,Osseo Public School District
23-24,882,1,Monticello Public School District,1,432,1,Mahnomen Public School District
23-24,882,1,Monticello Public School District,3,466,1,Dassel-Cokato Public School District
23-24,882,1,Monticello Public School District,5,477,1,Princeton Public School District
23-24,882,1,Monticello Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,882,1,Monticello Public School District,41,726,1,Becker Public School District
23-24,882,1,Monticello Public School District,234,727,1,Big Lake Public School District
23-24,882,1,Monticello Public School District,27,728,1,Elk River Public School District
23-24,882,1,Monticello Public School District,1,739,1,Kimball Public School District
23-24,882,1,Monticello Public School District,76,742,1,St. Cloud Public School District
23-24,882,1,Monticello Public School District,1,748,1,Sartell-St. Stephen School District
23-24,882,1,Monticello Public School District,34,876,1,Annandale Public School District
23-24,882,1,Monticello Public School District,35,877,1,Buffalo-Hanover-Montrose Schools
23-24,882,1,Monticello Public School District,35,881,1,Maple Lake Public School District
23-24,882,1,Monticello Public School District,21,885,1,St. Michael-Albertville School District
23-24,882,1,Monticello Public School District,5,2687,1,Howard Lake-Waverly-Winsted
23-24,882,1,Monticello Public School District,1,2754,1,Cedar Mountain School District
23-24,883,1,Rockford Public School District,14,11,1,Anoka-Hennepin Public School District
23-24,883,1,Rockford Public School District,2,110,1,Waconia Public School District
23-24,883,1,Rockford Public School District,2,111,1,Watertown-Mayer Public School District
23-24,883,1,Rockford Public School District,1,112,1,Eastern Carver County Public Schools
23-24,883,1,Rockford Public School District,1,139,1,Rush City Public School District
23-24,883,1,Rockford Public School District,1,270,1,Hopkins Public School District
23-24,883,1,Rockford Public School District,67,279,1,Osseo Public School District
23-24,883,1,Rockford Public School District,2,281,1,Robbinsdale Public School District
23-24,883,1,Rockford Public School District,3,284,1,Wayzata Public School District
23-24,883,1,Rockford Public School District,5,286,1,Brooklyn Center Community Schools
23-24,883,1,Rockford Public School District,2,466,1,Dassel-Cokato Public School District
23-24,883,1,Rockford Public School District,10,728,1,Elk River Public School District
23-24,883,1,Rockford Public School District,1,831,1,Forest Lake Public School District
23-24,883,1,Rockford Public School District,4,876,1,Annandale Public School District
23-24,883,1,Rockford Public School District,177,877,1,Buffalo-Hanover-Montrose Schools
23-24,883,1,Rockford Public School District,32,879,1,Delano Public School District
23-24,883,1,Rockford Public School District,10,885,1,St. Michael-Albertville School District
23-24,883,1,Rockford Public School District,8,2687,1,Howard Lake-Waverly-Winsted
23-24,885,1,St. Michael-Albertville School District,5,11,1,Anoka-Hennepin Public School District
23-24,885,1,St. Michael-Albertville School District,1,47,1,Sauk Rapids-Rice Public Schools
23-24,885,1,St. Michael-Albertville School District,8,279,1,Osseo Public School District
23-24,885,1,St. Michael-Albertville School District,4,281,1,Robbinsdale Public School District
23-24,885,1,St. Michael-Albertville School District,1,284,1,Wayzata Public School District
23-24,885,1,St. Michael-Albertville School District,2,347,1,Willmar Public School District
23-24,885,1,St. Michael-Albertville School District,1,477,1,Princeton Public School District
23-24,885,1,St. Michael-Albertville School District,1,621,1,Mounds View Public School District
23-24,885,1,St. Michael-Albertville School District,1,625,1,Saint Paul Public Schools
23-24,885,1,St. Michael-Albertville School District,2,726,1,Becker Public School District
23-24,885,1,St. Michael-Albertville School District,20,727,1,Big Lake Public School District
23-24,885,1,St. Michael-Albertville School District,1025,728,1,Elk River Public School District
23-24,885,1,St. Michael-Albertville School District,8,742,1,St. Cloud Public School District
23-24,885,1,St. Michael-Albertville School District,1,748,1,Sartell-St. Stephen School District
23-24,885,1,St. Michael-Albertville School District,6,876,1,Annandale Public School District
23-24,885,1,St. Michael-Albertville School District,210,877,1,Buffalo-Hanover-Montrose Schools
23-24,885,1,St. Michael-Albertville School District,1,879,1,Delano Public School District
23-24,885,1,St. Michael-Albertville School District,3,881,1,Maple Lake Public School District
23-24,885,1,St. Michael-Albertville School District,188,882,1,Monticello Public School District
23-24,885,1,St. Michael-Albertville School District,14,883,1,Rockford Public School District
23-24,885,1,St. Michael-Albertville School District,1,2144,1,Chisago Lakes School District
23-24,885,1,St. Michael-Albertville School District,1,2149,1,Minnewaska School District
23-24,891,1,Canby Public School District,5,378,1,Dawson-Boyd Public School District
23-24,891,1,Canby Public School District,9,402,1,Hendricks Public School District
23-24,891,1,Canby Public School District,20,403,1,Ivanhoe Public School District
23-24,891,1,Canby Public School District,1,2190,1,Yellow Medicine East
23-24,891,1,Canby Public School District,8,2853,1,Lac qui Parle Valley School District
23-24,911,1,Cambridge-Isanti Public School District,1,11,1,Anoka-Hennepin Public School District
23-24,911,1,Cambridge-Isanti Public School District,1,12,1,Centennial Public School District
23-24,911,1,Cambridge-Isanti Public School District,70,15,1,St. Francis Area Schools
23-24,911,1,Cambridge-Isanti Public School District,37,138,1,North Branch Area Public Schools
23-24,911,1,Cambridge-Isanti Public School District,17,139,1,Rush City Public School District
23-24,911,1,Cambridge-Isanti Public School District,1,152,1,Moorhead Area Public School District
23-24,911,1,Cambridge-Isanti Public School District,1,181,1,Brainerd Public School District
23-24,911,1,Cambridge-Isanti Public School District,1,281,1,Robbinsdale Public School District
23-24,911,1,Cambridge-Isanti Public School District,73,314,1,Braham Public School District
23-24,911,1,Cambridge-Isanti Public School District,11,332,1,Mora Public School District
23-24,911,1,Cambridge-Isanti Public School District,5,333,1,Ogilvie Public School District
23-24,911,1,Cambridge-Isanti Public School District,2,347,1,Willmar Public School District
23-24,911,1,Cambridge-Isanti Public School District,21,477,1,Princeton Public School District
23-24,911,1,Cambridge-Isanti Public School District,3,578,1,Pine City Public School District
23-24,911,1,Cambridge-Isanti Public School District,1,625,1,Saint Paul Public Schools
23-24,911,1,Cambridge-Isanti Public School District,3,728,1,Elk River Public School District
23-24,911,1,Cambridge-Isanti Public School District,1,742,1,St. Cloud Public School District
23-24,911,1,Cambridge-Isanti Public School District,2,831,1,Forest Lake Public School District
23-24,911,1,Cambridge-Isanti Public School District,2,912,1,Milaca Public School District
23-24,912,1,Milaca Public School District,1,1,1,Aitkin Public School District
23-24,912,1,Milaca Public School District,1,4,1,McGregor Public School District
23-24,912,1,Milaca Public School District,1,47,1,Sauk Rapids-Rice Public Schools
23-24,912,1,Milaca Public School District,15,51,1,Foley Public School District
23-24,912,1,Milaca Public School District,1,314,1,Braham Public School District
23-24,912,1,Milaca Public School District,1,332,1,Mora Public School District
23-24,912,1,Milaca Public School District,19,333,1,Ogilvie Public School District
23-24,912,1,Milaca Public School District,4,473,1,Isle Public School District
23-24,912,1,Milaca Public School District,40,477,1,Princeton Public School District
23-24,912,1,Milaca Public School District,31,480,1,Onamia Public School District
23-24,912,1,Milaca Public School District,5,728,1,Elk River Public School District
23-24,914,1,Ulen-Hitterdal Public School District,1,152,1,Moorhead Area Public School District
23-24,914,1,Ulen-Hitterdal Public School District,1,432,1,Mahnomen Public School District
23-24,914,1,Ulen-Hitterdal Public School District,20,435,1,Waubun-Ogema-White Earth Schools
23-24,914,1,Ulen-Hitterdal Public School District,6,2164,1,Dilworth-Glyndon-Felton
23-24,914,1,Ulen-Hitterdal Public School District,23,2215,1,Norman County East School District
23-24,914,1,Ulen-Hitterdal Public School District,6,2889,1,Lake Park Audubon School District
23-24,914,1,Ulen-Hitterdal Public School District,2,2910,1,Ada-Borup-West Public Schools
23-24,1094,34,,2,4,1,McGregor Public School District
